subject,actual_label,predicted_label,classified_by,Group,Accuracy
ZCM05_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
MEC05_T1w1_Final2_edited,FG2,FG2,Cytoarchitecture,Children,100
RHSA06_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
RHSA06_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
RHSA06_T1w1_final_edited,FG2,FG2,Cytoarchitecture,Children,100
RHSA06_T1w1_final_edited,FG2,FG2,Cytoarchitecture,Children,100
INW06_final_edited,FG4,FG4,Cytoarchitecture,Children,100
INW06_final_edited,FG4,FG4,Cytoarchitecture,Children,100
INW06_final_edited,FG2,FG2,Cytoarchitecture,Children,100
INW06_final_edited,FG2,FG2,Cytoarchitecture,Children,100
AlS07_edited,FG2,FG4,Cytoarchitecture,Children,0
SDS07_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
SDS07_T1w1_final_edited,FG2,FG2,Cytoarchitecture,Children,100
SM08_edited,FG4,FG4,Cytoarchitecture,Children,100
SM08_edited,FG4,FG2,Cytoarchitecture,Children,0
SM08_edited,FG2,FG2,Cytoarchitecture,Children,100
SM08_edited,FG2,FG2,Cytoarchitecture,Children,100
MDT09_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
MDT09_T1w1_final_edited,FG2,FG2,Cytoarchitecture,Children,100
LEE09_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
LEE09_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
LEE09_T1w1_final_edited,FG2,FG2,Cytoarchitecture,Children,100
LEE09_T1w1_final_edited,FG2,FG2,Cytoarchitecture,Children,100
GEJA09_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
GEJA09_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
GEJA09_T1w1_final_edited,FG2,FG4,Cytoarchitecture,Children,0
GEJA09_T1w1_final_edited,FG2,FG2,Cytoarchitecture,Children,100
DAPA10_final_edited,FG2,FG2,Cytoarchitecture,Children,100
AG10_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
AG10_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
AG10_T1w1_final_edited,FG2,FG2,Cytoarchitecture,Children,100
STM10_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
STM10_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
STM10_T1w1_final_edited,FG2,FG2,Cytoarchitecture,Children,100
SERA10_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
SERA10_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
SERA10_T1w1_final_edited,FG2,FG2,Cytoarchitecture,Children,100
SERA10_T1w1_final_edited,FG2,FG2,Cytoarchitecture,Children,100
KW10_edited,FG4,FG4,Cytoarchitecture,Children,100
KW10_edited,FG4,FG4,Cytoarchitecture,Children,100
KW10_edited,FG2,FG2,Cytoarchitecture,Children,100
KW10_edited,FG2,FG2,Cytoarchitecture,Children,100
NW10_edited,FG4,FG4,Cytoarchitecture,Children,100
NW10_edited,FG2,FG2,Cytoarchitecture,Children,100
RJM10_edited,FG4,FG4,Cytoarchitecture,Children,100
RJM10_edited,FG4,FG4,Cytoarchitecture,Children,100
RJM10_edited,FG2,FG2,Cytoarchitecture,Children,100
RJM10_edited,FG2,FG2,Cytoarchitecture,Children,100
AyS10,FG4,FG4,Cytoarchitecture,Children,100
AyS10,FG4,FG4,Cytoarchitecture,Children,100
CGSA11_final,FG4,FG4,Cytoarchitecture,Children,100
CGSA11_final,FG4,FG4,Cytoarchitecture,Children,100
CGSA11_final,FG2,FG2,Cytoarchitecture,Children,100
CGSA11_final,FG2,FG2,Cytoarchitecture,Children,100
MFC11_final_edited,FG4,FG4,Cytoarchitecture,Children,100
MFC11_final_edited,FG2,FG2,Cytoarchitecture,Children,100
MFC11_final_edited,FG2,FG4,Cytoarchitecture,Children,0
JTE11_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
JTE11_T1w1_final_edited,FG4,FG4,Cytoarchitecture,Children,100
JTE11_T1w1_final_edited,FG2,FG2,Cytoarchitecture,Children,100
JDB11_edited,FG4,FG4,Cytoarchitecture,Children,100
JDB11_edited,FG4,FG4,Cytoarchitecture,Children,100
JDB11_edited,FG2,FG4,Cytoarchitecture,Children,0
JDB11_edited,FG2,FG4,Cytoarchitecture,Children,0
LL11,FG4,FG4,Cytoarchitecture,Children,100
